slug,name,file,title,creator,license,license_url,landing_url
absinthe,Absinthe bottle,absinthe.jpg,File:Absinthe bottle with glass and spoon.jpg,Tangopaso,Public domain,,https://commons.wikimedia.org/wiki/File:Absinthe_bottle_with_glass_and_spoon.jpg
aged_rum,Aged rum bottle,aged_rum.jpg,File:Bottle of Puerto Rican rum Don Q (IMG 3730X).jpg,Roca Ruiz,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Bottle_of_Puerto_Rican_rum_Don_Q_(IMG_3730X).jpg
aguardiente,Aguardiente bottle,aguardiente.jpg,File:Botella de Aguardiente Antioqueño.jpg,Yussef90 (talk) (Uploads),Public domain,,https://commons.wikimedia.org/wiki/File:Botella_de_Aguardiente_Antioque%C3%B1o.jpg
amaretto,Amaretto bottle,amaretto.jpg,File:Amaretto bottle from San Marino.jpg,MichalPL,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amaretto_bottle_from_San_Marino.jpg
amaro,Amaro bottle,amaro.jpg,File:Amaro Sibilla.jpg,KellyDoyle,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amaro_Sibilla.jpg
angostura_bitters,Angostura bitters bottle,angostura_bitters.jpg,File:Angostura aromatic bitters dD.jpg,Didier Descouens,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Angostura_aromatic_bitters_dD.jpg
aperol,Aperol bottle,aperol.jpg,File:Aperol 001 2025 06 08.jpg,Friedrich Haag,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Aperol_001_2025_06_08.jpg
apricot_brandy,Apricot brandy bottle,apricot_brandy.jpg,File:A.C. Illum - apricot brandy.png,Søren Greve,CC BY-SA 1.0,https://creativecommons.org/licenses/by-sa/1.0,https://commons.wikimedia.org/wiki/File:A.C._Illum_-_apricot_brandy.png
benedictine,Benedictine liqueur bottle,benedictine.jpg,File:D.O.M Benedictine French Herbal Liqueur 01.jpg,Indrajit Das,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:D.O.M_Benedictine_French_Herbal_Liqueur_01.jpg
blackstrap_rum,Blackstrap rum bottle,blackstrap_rum.jpg,File:Appleton Estate Jamaica Rum 01.jpg,Indrajit Das,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Appleton_Estate_Jamaica_Rum_01.jpg
