file,unsure_boxes,known_boxes,candidate_classes,source
1602d030a14f_5930477898899158103_1691735943048.jpg,46,0,bluecuracao kwaifeh,ouo_final\liqueur\bluecuracao\5930477898899158103_1691735943048.jpg
b084c1b3f69d_7231369111103121182_1__1691735942647.jpg,34,0,bacardi_gold bacardi_white,ouo_final\goldrum\bacardicartaoro\7231369111103121182 (1)_1691735942647.jpg
99c80c9f7558_0cd8d47d19254350b4faf6ec947a47d5_155869295_2790493436185.jpg,31,0,aromatic orange,ouo_final\bitters\aromatic\0cd8d47d19254350b4faf6ec947a47d5_155869295_279049343618552_7534105425946031509_n_1691735941435.jpg
b8b3cc2f7bff_f51b057b57f24d61a6a8887899ad565d_70545043_23763403393434.jpg,24,0,bushmillsblackbush bushmillsoriginal,ouo_final\irishwhiskey\bushmillsblackbush\f51b057b57f24d61a6a8887899ad565d_70545043_2376340339343426_795894897555314912_n_1691735942777.jpg
ae9c3f1752e8_b0e03506c9174293be7ef1493bd1bc78_21435991_19220214080703.jpg,22,0,chartreusegreen chartreuseyellow,ouo_final\liqueur\chartreusegreen\b0e03506c9174293be7ef1493bd1bc78_21435991_1922021408070373_4766715766374400000_n_1691735943190.jpg
b6f7ea228107_5f67ec51af4a4d80ad0a4deb21947580_335594005_1264275947850.jpg,21,0,fireball makersmark,ouo_final\bourbonwhiskey\makersmark\5f67ec51af4a4d80ad0a4deb21947580_335594005_1264275947850417_3917711064619277561_n_1691735942053.jpg
418c42c1b242_56b42084c6af4b2ab09ab79d38ac8f12_281940591_7255708655573.jpg,21,0,hendricks midori,ouo_final\gin\hendricks\56b42084c6af4b2ab09ab79d38ac8f12_281940591_725570865557314_1298220492251957043_n_1691735942547.jpg
ac7bb0bae92e_6182389444701544413_1691735943508.jpg,19,0,hpnotiq pucker xrated,ouo_final\liqueur\hpnotiq\6182389444701544413_1691735943508.jpg
f2394af1f60a_709a04fc451f4a678e6d6ce98fda52b8_346897969_1414150599126.jpg,17,0,fireball xrated,ouo_final\liqueur\fireball\709a04fc451f4a678e6d6ce98fda52b8_346897969_1414150599126675_2578899202618190039_n_1691735943411.jpg
d59eba174cf6_2b2288124177474c9cce78ddd0a36ee2_159407033_1430133693993.jpg,16,0,ballantine12 fireball plantationoriginaldark,ouo_final\blendedwhiskey\ballantine12\2b2288124177474c9cce78ddd0a36ee2_159407033_1430133693993199_388086019572904197_n_1691735941544.jpg
5161558cdf1f_1408936306052858303_4__1691735942325.jpg,11,0,bacardiblack jameson,ouo_final\darkrum\bacardiblack\1408936306052858303 (4)_1691735942325.jpg
