file,source,title,creator,creator_url,license,license_url,landing_url,url,query,width,height
14f49320e522.jpg,wikimedia-commons,File:Assorted gin bottles on a store shelf.jpg,Jon Worth,,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Assorted_gin_bottles_on_a_store_shelf.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/Assorted_gin_bottles_on_a_store_shelf.jpg/1280px-Assorted_gin_bottles_on_a_store_shelf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,857
b4c060812858.jpg,wikimedia-commons,File:Attendant at a liquor store in Kenya.jpg,Lebu Ayiga,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Attendant_at_a_liquor_store_in_Kenya.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/Attendant_at_a_liquor_store_in_Kenya.jpg/1280px-Attendant_at_a_liquor_store_in_Kenya.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,1925
7bd7cd05dc82.jpg,wikimedia-commons,File:Barbestand.JPG,4028mdk09,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Barbestand.JPG,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ae/Barbestand.JPG/1280px-Barbestand.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,960
a899944a9e83.jpg,wikimedia-commons,File:DFC 0603 Bottles of liquor lined up on a backlit bar shelf glowing in cool blue light.jpg,PattayaPatrol,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:DFC_0603_Bottles_of_liquor_lined_up_on_a_backlit_bar_shelf_glowing_in_cool_blue_light.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0b/DFC_0603_Bottles_of_liquor_lined_up_on_a_backlit_bar_shelf_glowing_in_cool_blue_light.jpg/1280px-DFC_0603_Bottles_of_liquor_lined_up_on_a_backlit_bar_shelf_glowing_in_cool_blue_light.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,853
13447b710ec6.jpg,wikimedia-commons,File:DFC 3751 A colorful row of liquor bottles glowing under neon lights along a sleek bar shelf.jpg,PattayaPatrol,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:DFC_3751_A_colorful_row_of_liquor_bottles_glowing_under_neon_lights_along_a_sleek_bar_shelf.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/26/DFC_3751_A_colorful_row_of_liquor_bottles_glowing_under_neon_lights_along_a_sleek_bar_shelf.jpg/1280px-DFC_3751_A_colorful_row_of_liquor_bottles_glowing_under_neon_lights_along_a_sleek_bar_shelf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,853
c19769c3882b.jpg,wikimedia-commons,"File:DeliDelux, Lisbon (6137077335).jpg",ricardo from London,,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"https://commons.wikimedia.org/wiki/File:DeliDelux,_Lisbon_(6137077335).jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0a/DeliDelux%2C_Lisbon_%286137077335%29.jpg/1280px-DeliDelux%2C_Lisbon_%286137077335%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,1707
741c328a39df.jpg,wikimedia-commons,File:Hongmao medicinal liquor on the shelf in a pharmacy.jpg,Shwangtianyuan,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Hongmao_medicinal_liquor_on_the_shelf_in_a_pharmacy.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0f/Hongmao_medicinal_liquor_on_the_shelf_in_a_pharmacy.jpg/1280px-Hongmao_medicinal_liquor_on_the_shelf_in_a_pharmacy.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,1707
097b5214e014.jpg,wikimedia-commons,File:Liquor Cabinet (4233482692).jpg,xlibber,,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Liquor_Cabinet_(4233482692).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/de/Liquor_Cabinet_%284233482692%29.jpg/1280px-Liquor_Cabinet_%284233482692%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,924
29735dd473f3.jpg,wikimedia-commons,File:Roberts Bar NOLA Bottles 1.jpg,Infrogmation of New Orleans,,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Roberts_Bar_NOLA_Bottles_1.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/26/Roberts_Bar_NOLA_Bottles_1.jpg/1280px-Roberts_Bar_NOLA_Bottles_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,960
931c5fe453c6.jpg,wikimedia-commons,File:Rum display in liquor store.jpg,User:O'Dea,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Rum_display_in_liquor_store.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fe/Rum_display_in_liquor_store.jpg/1280px-Rum_display_in_liquor_store.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,637
90de2b88a1a0.jpg,wikimedia-commons,File:The liquor book (IA liquorboo00bate).pdf,"Bates, Charles Austin, 1866- [from old catalog] ed",,Public domain,,https://commons.wikimedia.org/wiki/File:The_liquor_book_(IA_liquorboo00bate).pdf,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4d/The_liquor_book_%28IA_liquorboo00bate%29.pdf/page1-500px-The_liquor_book_%28IA_liquorboo00bate%29.pdf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,500,772
4f892875c521.jpg,wikimedia-commons,"File:Two shelves full of liquor bottles (Portland, Oregon - 2014).jpg",Visitor7,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Two_shelves_full_of_liquor_bottles_(Portland,_Oregon_-_2014).jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ab/Two_shelves_full_of_liquor_bottles_%28Portland%2C_Oregon_-_2014%29.jpg/1280px-Two_shelves_full_of_liquor_bottles_%28Portland%2C_Oregon_-_2014%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,853
ae21db92ec69.jpg,openverse/flickr,Bletchley Park House - Mansion - Bar,ell brown,https://www.flickr.com/photos/39415781@N06,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/39415781@N06/5105300499,https://live.staticflickr.com/1379/5105300499_ae48dda779_b.jpg,home bar shelf,1024,768
d87167ff191e.jpg,wikimedia-commons,File:A lay of Norwich - Shavings from the shelf (and) Aschamica (IA layofnorwichshav00jame).pdf,"James, Arthur C",,Public domain,,https://commons.wikimedia.org/wiki/File:A_lay_of_Norwich_-_Shavings_from_the_shelf_(and)_Aschamica_(IA_layofnorwichshav00jame).pdf,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/92/A_lay_of_Norwich_-_Shavings_from_the_shelf_%28and%29_Aschamica_%28IA_layofnorwichshav00jame%29.pdf/page1-960px-A_lay_of_Norwich_-_Shavings_from_the_shelf_%28and%29_Aschamica_%28IA_layofnorwichshav00jame%29.pdf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,home bar shelf,960,1388
4f61e3ad819b.jpg,wikimedia-commons,File:A librarian's open shelf- essays on various subjects (IA librariansopen00bostrich).pdf,"Bostwick, Arthur Elmore, 1860-1942",,Public domain,,https://commons.wikimedia.org/wiki/File:A_librarian%27s_open_shelf-_essays_on_various_subjects_(IA_librariansopen00bostrich).pdf,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/A_librarian%27s_open_shelf-_essays_on_various_subjects_%28IA_librariansopen00bostrich%29.pdf/page1-500px-A_librarian%27s_open_shelf-_essays_on_various_subjects_%28IA_librariansopen00bostrich%29.pdf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,home bar shelf,500,850
9575d9df2653.jpg,wikimedia-commons,File:Home as Found (IA homeasfound00coop).pdf,"Cooper, James Fenimore, 1789-1851",,Public domain,,https://commons.wikimedia.org/wiki/File:Home_as_Found_(IA_homeasfound00coop).pdf,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ce/Home_as_Found_%28IA_homeasfound00coop%29.pdf/page1-960px-Home_as_Found_%28IA_homeasfound00coop%29.pdf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,home bar shelf,960,1524
e41af0b86140.jpg,wikimedia-commons,"File:Ladies' Home Journal Vol.12 No.04 (March, 1895).pdf",various,,Public domain,,"https://commons.wikimedia.org/wiki/File:Ladies%27_Home_Journal_Vol.12_No.04_(March,_1895).pdf",https://thumb.wikimedia.org/wikipedia/commons/thumb/1/19/Ladies%27_Home_Journal_Vol.12_No.04_%28March%2C_1895%29.pdf/page1-1280px-Ladies%27_Home_Journal_Vol.12_No.04_%28March%2C_1895%29.pdf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,home bar shelf,1280,1927
866c98725d4a.jpg,wikimedia-commons,"File:Ladies' Home Journal Vol.12 No.12 (November, 1895).pdf",various,,Public domain,,"https://commons.wikimedia.org/wiki/File:Ladies%27_Home_Journal_Vol.12_No.12_(November,_1895).pdf",https://thumb.wikimedia.org/wikipedia/commons/thumb/d/df/Ladies%27_Home_Journal_Vol.12_No.12_%28November%2C_1895%29.pdf/page1-1280px-Ladies%27_Home_Journal_Vol.12_No.12_%28November%2C_1895%29.pdf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,home bar shelf,1280,1903
038a00d9a7a3.jpg,wikimedia-commons,"File:Ladies' Home Journal Vol.14 No.10 (September, 1897).pdf",various,,Public domain,,"https://commons.wikimedia.org/wiki/File:Ladies%27_Home_Journal_Vol.14_No.10_(September,_1897).pdf",https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/Ladies%27_Home_Journal_Vol.14_No.10_%28September%2C_1897%29.pdf/page1-1280px-Ladies%27_Home_Journal_Vol.14_No.10_%28September%2C_1897%29.pdf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,home bar shelf,1280,1901
